,mean_test_mae,mean_test_wmae,mean_test_rmse,mean_test_wrmse,param_C,param_epsilon,param_gamma,param_kernel,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,split5_test_mae,split6_test_mae,split7_test_mae,split8_test_mae,split9_test_mae,std_test_mae,rank_test_mae,split0_test_wmae,split1_test_wmae,split2_test_wmae,split3_test_wmae,split4_test_wmae,split5_test_wmae,split6_test_wmae,split7_test_wmae,split8_test_wmae,split9_test_wmae,std_test_wmae,rank_test_wmae,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,split5_test_rmse,split6_test_rmse,split7_test_rmse,split8_test_rmse,split9_test_rmse,std_test_rmse,rank_test_rmse,split0_test_wrmse,split1_test_wrmse,split2_test_wrmse,split3_test_wrmse,split4_test_wrmse,split5_test_wrmse,split6_test_wrmse,split7_test_wrmse,split8_test_wrmse,split9_test_wrmse,std_test_wrmse,rank_test_wrmse
0,-0.06838089451089083,-0.0568233512433987,-0.1271131941639024,-0.12146191368388246,0.001,0.0,scale,linear,0,77.9131078004837,59.371327252648584,5.328016066551209,3.6266671240269863,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'scale', 'kernel': 'linear'}",-0.07215874824465941,-0.0713558331794097,-0.07197660562095137,-0.06903376983849102,-0.06775746597323576,-0.06756584378684921,-0.06208371016191636,-0.06428009867141478,-0.07084197391021801,-0.06675489572176256,0.0032047251899967304,615,-0.061076654562671126,-0.058994433681948226,-0.061497764949528265,-0.057210118342640864,-0.052697954304259546,-0.05721499893959391,-0.05181412357415145,-0.051894435987195536,-0.05984588294415255,-0.05598714514784549,0.003481346207298271,508,-0.1301120578061732,-0.13233115002363638,-0.13975028131571068,-0.13017209236252758,-0.12093805282368332,-0.1347883695885196,-0.11450343308733416,-0.11590125646332736,-0.1340589915100628,-0.11857625665804933,0.008415169569912586,674,-0.12364665195062835,-0.12632186182822636,-0.14008590257574002,-0.12645123238980013,-0.10488638584690428,-0.133055886676318,-0.11316041594909995,-0.10459067869037804,-0.13084568871830352,-0.11157443221342604,0.01161325850934527,666
1,-0.5417415685289898,-0.8461455526812458,-0.7935599682524058,-1.3584577519190657,0.001,0.0,scale,poly,1,111.18058845996856,39.53554562790455,7.778916549682617,2.0646740580876384,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'scale', 'kernel': 'poly'}",-0.5167728959377594,-0.5701512781702146,-0.5255755472405252,-0.5623036808368542,-0.5503221410979793,-0.5375423542065153,-0.5418020987840414,-0.5483743762989004,-0.5061891011746059,-0.5583822115425028,0.01947006236245,1602,-0.7489202985840623,-1.0067218187762832,-0.7651628248111891,-0.8709495739475935,-0.896665482271121,-0.8260438212665542,-0.8565235402937751,-0.8422418103700725,-0.7300978977560535,-0.9181284587357538,0.08008670966632607,1581,-0.7414005756647376,-0.8891707806836365,-0.74861943688337,-0.8201592159588615,-0.8151672891177075,-0.780067333352067,-0.7759109561087176,-0.8001547675068287,-0.7212546949449877,-0.8436946323031447,0.048305946459085314,1577,-1.2219555487140497,-1.6518505659819598,-1.1987662580191034,-1.403570211095874,-1.4602951594052578,-1.2839547374714904,-1.3178031368892087,-1.3508623378447606,-1.1661449996069198,-1.5293745641620349,0.14699574762325265,1584
2,-0.5107442070473559,-0.8463730639678364,-0.8010136550365959,-1.430313736660028,0.001,0.0,scale,rbf,2,21.375326347351074,10.843885391854661,1.9788920402526855,1.0041548080065006,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'scale', 'kernel': 'rbf'}",-0.4734626285414038,-0.5458328614958045,-0.4929722986047577,-0.528689980766982,-0.522134756807469,-0.5079346316601857,-0.5095602874729617,-0.5134059900534246,-0.4826256841517578,-0.5308229509188126,0.021445171177437317,1575,-0.7244308126193665,-1.0298411559500082,-0.7465517077692682,-0.8745059370057782,-0.907683764672293,-0.8216524892845952,-0.862523929441355,-0.8361149972411739,-0.7348395522875669,-0.92558629340696,0.09095980557705917,1586,-0.7247750477908699,-0.9147460953252636,-0.7433760864675778,-0.8268900286281663,-0.8328957388566619,-0.7822427948161826,-0.7824733193721141,-0.8060260353458739,-0.7357340038141107,-0.8609773999491388,0.056862846624389625,1590,-1.2416715031742696,-1.7601488988505452,-1.2262168695788327,-1.4713060790231436,-1.5593904749646466,-1.334334451104611,-1.4037824404523809,-1.4240206536335522,-1.257831425479789,-1.62443457033851,0.1678578016340447,1621
3,-0.06838089451089083,-0.0568233512433987,-0.1271131941639024,-0.12146191368388246,0.001,0.0,auto,linear,3,16.55506649017334,9.01041870216096,1.2862034559249875,0.7475338991848778,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'auto', 'kernel': 'linear'}",-0.07215874824465941,-0.0713558331794097,-0.07197660562095137,-0.06903376983849102,-0.06775746597323576,-0.06756584378684921,-0.06208371016191636,-0.06428009867141478,-0.07084197391021801,-0.06675489572176256,0.0032047251899967304,615,-0.061076654562671126,-0.058994433681948226,-0.061497764949528265,-0.057210118342640864,-0.052697954304259546,-0.05721499893959391,-0.05181412357415145,-0.051894435987195536,-0.05984588294415255,-0.05598714514784549,0.003481346207298271,508,-0.1301120578061732,-0.13233115002363638,-0.13975028131571068,-0.13017209236252758,-0.12093805282368332,-0.1347883695885196,-0.11450343308733416,-0.11590125646332736,-0.1340589915100628,-0.11857625665804933,0.008415169569912586,674,-0.12364665195062835,-0.12632186182822636,-0.14008590257574002,-0.12645123238980013,-0.10488638584690428,-0.133055886676318,-0.11316041594909995,-0.10459067869037804,-0.13084568871830352,-0.11157443221342604,0.01161325850934527,666
4,-0.5418486259584727,-0.846216536526226,-0.7936386406712604,-1.3585643581162952,0.001,0.0,auto,poly,4,32.92388134002685,27.680144030867737,2.776446604728698,2.4319437798683845,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'auto', 'kernel': 'poly'}",-0.5154982168703395,-0.5739756566919887,-0.5258997703700626,-0.5618531436251522,-0.549505199078274,-0.5357733798656625,-0.5410517591899775,-0.5478627062066513,-0.5087343220449333,-0.558332105641686,0.019701865382676827,1603,-0.7473435123932034,-1.0116342882766922,-0.7655865400794886,-0.8702852179329668,-0.8956658579822956,-0.8236263439032373,-0.8552688678910058,-0.8413242334909133,-0.7334297193096595,-0.9180007840027972,0.08071844962460911,1582,-0.7398890754497324,-0.8934963307947479,-0.7490145911089843,-0.8195517703726924,-0.8142276289158296,-0.7778063667966089,-0.7748530105915019,-0.7993777800640512,-0.7245804820100298,-0.8435893706084261,0.048834291004310935,1578,-1.2197751511786186,-1.6589015584991285,-1.1993615049614574,-1.4025566523599395,-1.4588184686820278,-1.2803221933411515,-1.3158471604857558,-1.3494347966431166,-1.1714741279075829,-1.5291519671041738,0.1479626526463769,1585
5,-0.5107362380166787,-0.8463647386515171,-0.8010076451266559,-1.430298338015019,0.001,0.0,auto,rbf,5,43.494949793815614,34.089440574381264,4.274685907363891,3.332292405380037,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'auto', 'kernel': 'rbf'}",-0.4735039918697235,-0.5453586317796629,-0.4929714876436342,-0.5288004633832669,-0.5221324410762277,-0.5081318840560934,-0.5096639294278177,-0.513501924306681,-0.4823484453075146,-0.5309491813161666,0.0214166704199224,1574,-0.7244595476012388,-1.0295526542368083,-0.7465479666132523,-0.8745594675402628,-0.90773633623163,-0.8217366070537273,-0.8625843085848475,-0.8361308182466333,-0.7346772947516501,-0.9256623856551192,0.09092856873125207,1585,-0.7248423859415739,-0.9144410354534441,-0.7433625156721174,-0.8269540983904462,-0.8329609429552195,-0.7823591784908727,-0.7825511518098041,-0.8060669957664449,-0.7354924496104227,-0.8610456971762143,0.05682982174565975,1589,-1.241752661746316,-1.7597957732767242,-1.2261998896158413,-1.4713389020346082,-1.5595409362874155,-1.3344143672829647,-1.4038745283841203,-1.4240119986267257,-1.2575726409372527,-1.6244816819582208,0.16781984231415736,1620
6,-0.06838089451089083,-0.0568233512433987,-0.1271131941639024,-0.12146191368388246,0.001,0.0,0.008,linear,6,36.45289835929871,43.62482517582446,2.6264670372009276,2.910952221414602,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.008, 'kernel': 'linear'}",-0.07215874824465941,-0.0713558331794097,-0.07197660562095137,-0.06903376983849102,-0.06775746597323576,-0.06756584378684921,-0.06208371016191636,-0.06428009867141478,-0.07084197391021801,-0.06675489572176256,0.0032047251899967304,615,-0.061076654562671126,-0.058994433681948226,-0.061497764949528265,-0.057210118342640864,-0.052697954304259546,-0.05721499893959391,-0.05181412357415145,-0.051894435987195536,-0.05984588294415255,-0.05598714514784549,0.003481346207298271,508,-0.1301120578061732,-0.13233115002363638,-0.13975028131571068,-0.13017209236252758,-0.12093805282368332,-0.1347883695885196,-0.11450343308733416,-0.11590125646332736,-0.1340589915100628,-0.11857625665804933,0.008415169569912586,674,-0.12364665195062835,-0.12632186182822636,-0.14008590257574002,-0.12645123238980013,-0.10488638584690428,-0.133055886676318,-0.11316041594909995,-0.10459067869037804,-0.13084568871830352,-0.11157443221342604,0.01161325850934527,666
7,-0.5733484959211113,-0.8921517699288359,-0.8350806469367958,-1.4281542680537629,0.001,0.0,0.008,poly,7,67.70057253837585,47.90141110661838,4.990627574920653,3.3295644027941913,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.008, 'kernel': 'poly'}",-0.5457459639626197,-0.6061028020429716,-0.5587878442948806,-0.5914649884690119,-0.5826932515620594,-0.5665849463856998,-0.5710192581461836,-0.5813160579275723,-0.5380997575115979,-0.5916700889085152,0.020384052591099308,1618,-0.7874292134683428,-1.0618283880797064,-0.8089857545072944,-0.9162694207170236,-0.94608548876335,-0.8669141735233667,-0.9002124925847177,-0.8895330031761172,-0.775945676278698,-0.9683140881897432,0.08377194410562575,1623,-0.7773946694806698,-0.9371762959387212,-0.7892315309472266,-0.8604184697944834,-0.8582766241510698,-0.8185606736861487,-0.814242332973783,-0.8418979591836316,-0.7652767679594575,-0.8883311452527656,0.05049278293557082,1618,-1.2766998929039195,-1.7373414599669297,-1.2603215914974395,-1.4724463162414931,-1.5377630583389912,-1.3458473718016588,-1.382967605849713,-1.4196223536103831,-1.2421824851361865,-1.6063505451909117,0.1535927399191257,1612
8,-0.508009627108164,-0.8445173392033627,-0.7985285500608397,-1.4271721629344971,0.001,0.0,0.008,rbf,8,46.90076568126678,39.69807726994621,4.360539364814758,3.5188318697365264,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.008, 'kernel': 'rbf'}",-0.4709416704128093,-0.5426466608671173,-0.4908538743583348,-0.5254826228566127,-0.5197049586360278,-0.5052556345209648,-0.5072040167475435,-0.5110442029726308,-0.4794134858254677,-0.5275491438841317,0.021277071884006345,1572,-0.7230632586178416,-1.026697620832388,-0.7456600897830606,-0.8718816906801468,-0.9056485848455694,-0.8200727283350622,-0.8610156189312183,-0.8345060460287814,-0.7328361150740442,-0.923791638905514,0.0905132090004349,1576,-0.7226407671944917,-0.9114359717722326,-0.7417208142411875,-0.8239542595066714,-0.8301178648038877,-0.7801809472033996,-0.7802236425811049,-0.8037908523864389,-0.732667423227068,-0.8585529576919142,0.056584914381040165,1584,-1.239828623678107,-1.7545794912709989,-1.2251399031372858,-1.4672563942218917,-1.5551516777172298,-1.3322488783570243,-1.4008402103964477,-1.4209934007487808,-1.253913135479798,-1.6217699143374067,0.16695048678499128,1609
9,-0.06838089451089083,-0.0568233512433987,-0.1271131941639024,-0.12146191368388246,0.001,0.0,0.01,linear,9,29.490954875946045,24.910833791379467,2.275026297569275,1.849005572619548,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.01, 'kernel': 'linear'}",-0.07215874824465941,-0.0713558331794097,-0.07197660562095137,-0.06903376983849102,-0.06775746597323576,-0.06756584378684921,-0.06208371016191636,-0.06428009867141478,-0.07084197391021801,-0.06675489572176256,0.0032047251899967304,615,-0.061076654562671126,-0.058994433681948226,-0.061497764949528265,-0.057210118342640864,-0.052697954304259546,-0.05721499893959391,-0.05181412357415145,-0.051894435987195536,-0.05984588294415255,-0.05598714514784549,0.003481346207298271,508,-0.1301120578061732,-0.13233115002363638,-0.13975028131571068,-0.13017209236252758,-0.12093805282368332,-0.1347883695885196,-0.11450343308733416,-0.11590125646332736,-0.1340589915100628,-0.11857625665804933,0.008415169569912586,674,-0.12364665195062835,-0.12632186182822636,-0.14008590257574002,-0.12645123238980013,-0.10488638584690428,-0.133055886676318,-0.11316041594909995,-0.10459067869037804,-0.13084568871830352,-0.11157443221342604,0.01161325850934527,666
