,mean_test_mae,mean_test_wmae,mean_test_rmse,mean_test_wrmse,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_max_iter,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,split5_test_mae,split6_test_mae,split7_test_mae,split8_test_mae,split9_test_mae,std_test_mae,rank_test_mae,split0_test_wmae,split1_test_wmae,split2_test_wmae,split3_test_wmae,split4_test_wmae,split5_test_wmae,split6_test_wmae,split7_test_wmae,split8_test_wmae,split9_test_wmae,std_test_wmae,rank_test_wmae,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,split5_test_rmse,split6_test_rmse,split7_test_rmse,split8_test_rmse,split9_test_rmse,std_test_rmse,rank_test_rmse,split0_test_wrmse,split1_test_wrmse,split2_test_wrmse,split3_test_wrmse,split4_test_wrmse,split5_test_wrmse,split6_test_wrmse,split7_test_wrmse,split8_test_wrmse,split9_test_wrmse,std_test_wrmse,rank_test_wrmse
0,-0.16905229464591698,-0.3953446377322812,-0.5589163660858334,-1.5880579630377316,logistic,0.0001,"(100,)",constant,2000,0,117.58151853084564,93.95287806265101,0.024104595184326172,0.018111119821568843,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 2000}",-0.1791765485087961,-0.1440018022133503,-0.16758487629382351,-0.15902902219743384,-0.17676493208097122,-0.1665412297270839,-0.1772442976066564,-0.17949538338313406,-0.1612174208622807,-0.17946743358563966,0.011155557355162812,147,-0.5192617799069393,-0.16909244450947106,-0.288643051387734,-0.33993968059293345,-0.5366038831896583,-0.6746397532343553,-0.5723713868685613,-0.3009073870506459,-0.2454150541663762,-0.3065719564161372,0.15797997342694908,68,-0.8104831955916961,-0.2567875039362505,-0.4661128869619306,-0.4917623114930021,-0.6209303526379313,-0.7388079447558229,-0.6964422626014827,-0.5580237319739119,-0.498997320842645,-0.4508161500636614,0.15430058461867285,232,-2.5959461053758073,-0.30557101761905103,-0.9183871497276908,-1.3654521159911304,-2.0272750746268575,-3.1534755798423104,-2.6472817883535034,-1.2133768737063293,-0.8021636118405555,-0.8516503132940789,0.9068811834387274,66
1,-0.16977753937126672,-0.40283659637116254,-0.568070396317761,-1.6202625011622207,logistic,0.0001,"(100,)",invscaling,2000,1,170.97013940811158,84.10033693698037,0.031055259704589843,0.015342753986900885,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 2000}",-0.173853484746232,-0.14508490914772001,-0.1689343182150101,-0.1663803908210083,-0.17150046141212644,-0.16342444961016514,-0.19857761403000898,-0.16519854870082876,-0.17503934013125586,-0.16978187689831178,0.012490072818362351,153,-0.5065149835178839,-0.1800957902390207,-0.3057793031726485,-0.36326491586053256,-0.5557099266396983,-0.6817990012465274,-0.5986591915985945,-0.272383477125418,-0.27340589478433797,-0.29075347952696357,0.1603803061157318,121,-0.8132623755887212,-0.25942138147322896,-0.4934183946332943,-0.5443311526458323,-0.6465918982432516,-0.733261806899696,-0.7006802631338491,-0.5320002793978472,-0.4906898925650919,-0.4670465185967971,0.15167518546090594,361,-2.522758178037781,-0.3576733095481464,-1.019178918040353,-1.466900882691026,-2.1763888210902307,-3.1870171469675315,-2.650817099482443,-1.1134958738476526,-0.8926995310787934,-0.8156952508382503,0.8973839372173379,136
2,-0.16881533146852573,-0.3992228737615533,-0.5644311240909015,-1.6280002108440594,logistic,0.0001,"(100,)",adaptive,2000,2,16.717812371253967,2.5188392706104503,0.003727221488952637,0.00015744717637585694,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 2000}",-0.17295762412246574,-0.15070739424422755,-0.1826767108405616,-0.18076131325433514,-0.17267739945734134,-0.16808517266003487,-0.1654705594730356,-0.1510404553543444,-0.16912375532347146,-0.1746529299554397,0.01027937449873912,143,-0.5127533792343715,-0.18975156699349374,-0.3268501902722967,-0.3775851586074381,-0.5309948530478528,-0.6682083208120633,-0.5546082579273937,-0.26134494612828557,-0.26930672392921895,-0.3008253406631183,0.14896497788489615,95,-0.8150583889633768,-0.26079204319083005,-0.5472193488255247,-0.5420780170210092,-0.6090004061550051,-0.7252588952630389,-0.6831330674133507,-0.5116692050779132,-0.5069945652705337,-0.4431073037284331,0.14783471038886575,285,-2.61324797275835,-0.354077323673378,-1.1533529261942643,-1.4982500094023234,-1.9987394194170625,-3.136491921727018,-2.6387719761373525,-1.1384651173811875,-0.9212734811864416,-0.8273319605632169,0.8746741749735208,148
3,-0.15150675559552498,-0.38976699379564905,-0.5735309213582671,-1.6303768130360765,logistic,0.0001,"(100, 100)",constant,2000,3,15.617536425590515,4.268786081794722,0.0060148477554321286,0.00019042402360141265,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 2000}",-0.14748418817245296,-0.11721783053383382,-0.15667828088626407,-0.14930415800953956,-0.15960051944228285,-0.14980886983319405,-0.17243980198441028,-0.152874352520059,-0.13433188909532628,-0.17532766547788695,0.016107060281682264,38,-0.4802756507764173,-0.1527830267702156,-0.3315881011984971,-0.3904377148019508,-0.4766586970116359,-0.6899996812654681,-0.5803671188781168,-0.27278331793964156,-0.21995895294478213,-0.3028176763697651,0.158693676110887,37,-0.8782192420586841,-0.2174282238718424,-0.5253825229900916,-0.5428659223640256,-0.5589691550914718,-0.742617469627582,-0.7079931125359091,-0.5051239652805483,-0.6284875920070906,-0.42822200775542535,0.17280032659601044,413,-2.545884256194472,-0.29739977524207495,-1.2742458975355475,-1.6491532620827851,-1.7570475656488782,-3.3321041130794224,-2.6227739953397253,-1.1746157583277304,-0.8413929195552292,-0.8091505873549006,0.9024169287757564,152
4,-0.15223945455051796,-0.39899540762744656,-0.5718669713691035,-1.65627835367229,logistic,0.0001,"(100, 100)",invscaling,2000,4,16.067878317832946,4.5312555896473405,0.005932044982910156,0.00017724457300403372,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'max_iter': 2000}",-0.1699712797839496,-0.13802372754500974,-0.15278925583926645,-0.19017114378532204,-0.1456913838844169,-0.16612371089336442,-0.141808645604694,-0.14169333186553906,-0.11974242176620728,-0.15637964453741016,0.01866678988356626,40,-0.5235972209800175,-0.19031403753343226,-0.37946620633022854,-0.421188277754002,-0.43026801216513416,-0.6992456646373686,-0.5732540225623666,-0.27343263591561845,-0.19470892475011775,-0.3044790736461802,0.15744015082772278,92,-0.8388452945909952,-0.2376387993237077,-0.6936468663469034,-0.5632094314025705,-0.5144182039208021,-0.7179160041439383,-0.6885930612561887,-0.5207211843135974,-0.5153688656943423,-0.428312002697989,0.1620378996725475,408,-2.5630604949907605,-0.36065455454364426,-1.7407811899154495,-1.560084533809016,-1.5880416440620542,-3.2185794058792188,-2.7266552433004603,-1.2278848086686485,-0.7157283306977831,-0.8613133308558643,0.8836606325807844,190
5,-0.14782931987389467,-0.3886115725346412,-0.5772540464729472,-1.6378097419883582,logistic,0.0001,"(100, 100)",adaptive,2000,5,18.02419681549072,3.318787882919799,0.005874347686767578,9.138443249343697e-05,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 2000}",-0.15840340001401554,-0.11795875710930985,-0.17851961283942014,-0.13594173120891684,-0.14826947844702704,-0.14194854741869106,-0.15513809143067608,-0.151289228178181,-0.12536914726679027,-0.16545520482591886,0.017327919790112646,20,-0.4903174661600403,-0.14501327519658375,-0.3695625723337335,-0.3360110143583813,-0.4467836602499631,-0.6820713023079883,-0.5936709980781449,-0.27302294549405215,-0.20289510162809932,-0.3467673895394246,0.15936378167668233,31,-0.901386293303538,-0.20895665177976186,-0.6188918343881402,-0.4841502038357079,-0.5317490445720348,-0.73751841733017,-0.7370248770415785,-0.4945665097711525,-0.5099919834363564,-0.5483046492710311,0.17792928055339358,429,-2.514442075160515,-0.2761219915021481,-1.459709070378794,-1.3561370897762963,-1.6633654458963112,-3.2378990973376967,-2.7326784758158973,-1.2144565737365556,-0.7189507297127194,-1.2043368705666442,0.8777723060568844,166
6,-0.15382102359795946,-0.3915096480157057,-0.5658334614039073,-1.5928998076751275,logistic,0.0001,"(100, 100, 100)",constant,2000,6,17.482009649276733,2.9397335669053555,0.008202695846557617,0.00017634277519766484,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'constant', 'max_iter': 2000}",-0.1546185095202706,-0.12983111736252806,-0.1656570034069365,-0.15198325833608953,-0.14529583371446536,-0.17358204297924373,-0.1746682320858295,-0.14517373274558584,-0.1327135071414879,-0.16468699868715753,0.015019236132826462,48,-0.5180987838892229,-0.1795530056556925,-0.34707781092619744,-0.3727556270964832,-0.36877359402323895,-0.7368072076068284,-0.6327766407468592,-0.2667415798506967,-0.176008883205107,-0.31650334715673045,0.17574612918579965,49,-0.8591519199131997,-0.24927603833618805,-0.489135067250256,-0.5800410468491124,-0.4679311823922782,-0.7576616654854877,-0.7805439678409933,-0.48703667603738005,-0.5413257431473807,-0.44623130678679795,0.1749075681810465,315,-2.6412765825101556,-0.3921803699991572,-1.12388838364401,-1.5197214452300412,-1.2844007294663575,-3.4088400938533567,-2.799153678363106,-1.161385138311129,-0.6475119943951662,-0.950639660978796,0.9542781642062066,76
7,-0.15992852549284678,-0.4003938934332008,-0.5564152288435216,-1.5970043278295103,logistic,0.0001,"(100, 100, 100)",invscaling,2000,7,17.297510933876037,4.524774710596018,0.008095884323120117,0.0001364269859379644,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'max_iter': 2000}",-0.2012139226318831,-0.13573784007520487,-0.17643771535231362,-0.15678456487398473,-0.16235184362586286,-0.14120269185487178,-0.15743188415939924,-0.15391849256418258,-0.1437431771900628,-0.1704631226007022,0.018286435907420108,78,-0.572390702926039,-0.18830498278841545,-0.32766807523737257,-0.3898340375544273,-0.4096615577702847,-0.6912761142113224,-0.5606977669796109,-0.2782657389352143,-0.2684156970947533,-0.3174242608345679,0.15151842854487593,101,-0.7976994962648152,-0.2365207833135611,-0.5261616719474983,-0.6003892197749181,-0.4931330029957775,-0.7414450205322921,-0.6814720548899902,-0.5382523591964097,-0.4973945884008835,-0.4516840911190705,0.15233560131231086,222,-2.6176700693448085,-0.35149538788167706,-1.1458988105374022,-1.6087734230006254,-1.3694183812153922,-3.3649964221845083,-2.5853605355710383,-1.1279921553593566,-0.9520814705898328,-0.8463566226104632,0.9028009229044182,85
8,-0.158532583036131,-0.40347423733229826,-0.5785236698242207,-1.589919281096052,logistic,0.0001,"(100, 100, 100)",adaptive,2000,8,17.371880865097047,4.521392424913296,0.008141207695007324,0.0001401963301504805,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'max_iter': 2000}",-0.20490568759458105,-0.12511562756739494,-0.1697411579000761,-0.1640009730417417,-0.17560201757392654,-0.16091243386692058,-0.15019569073782504,-0.13668939161743102,-0.1355121357553194,-0.16265071470609352,0.021939123160114548,68,-0.5923530023968763,-0.15726507192805414,-0.3326182777268281,-0.3779163902750215,-0.5294301863866785,-0.6635497677266644,-0.6165219697873754,-0.25760845813062677,-0.19599284731441394,-0.3114864016504435,0.17425514200586345,126,-0.9248598310711632,-0.22223449268285855,-0.5425981111228738,-0.5661223524445064,-0.5541018812708456,-0.7255242163999517,-0.7829798560814532,-0.4774187020833912,-0.5542268820434653,-0.4351703730416978,0.18539303800882334,441,-2.73063986446913,-0.3087867402796298,-1.0681000482523595,-1.3882802945465382,-1.8668776358513477,-3.0315928994315664,-2.8458871478740533,-1.147881249320604,-0.7123379474517891,-0.7988089834834983,0.9262550288807984,69
9,-0.15995730242451736,-0.3940130855734617,-0.6012406759956005,-1.6314462832386236,logistic,0.0001,"(100, 10, 100)",constant,2000,9,14.462097191810608,4.8986618600922505,0.007002568244934082,0.0038806523882229053,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 10, 100), 'learning_rate': 'constant', 'max_iter': 2000}",-0.15900144997883942,-0.12885719467646992,-0.19949646617287092,-0.15118733589700567,-0.16482523093246945,-0.14767309266616482,-0.18377200146076875,-0.17676222913102654,-0.13105063425600524,-0.1569473890735529,0.021159364760738358,79,-0.5224260373188783,-0.16341016006835676,-0.41533305503520745,-0.3878963278024647,-0.34412245536505826,-0.6788923235008463,-0.5871464123042105,-0.2897507744709751,-0.2197837298963521,-0.33136957997226757,0.15370621165711784,60,-0.8714421114155879,-0.21981153257516095,-0.7484163769043006,-0.5745886443420803,-0.5596259738153951,-0.7315513072247357,-0.7496626274235134,-0.540647706117377,-0.5213802102101203,-0.4952802699277334,0.17403636236300055,489,-2.648405498082402,-0.2870289991975738,-1.6179526349992674,-1.6251629630829432,-1.2346797886548921,-3.3215707733901967,-2.5752628757556923,-1.1362280336916035,-0.7674051426791515,-1.1007661228525143,0.8955472785160498,155
