,mean_test_mae,mean_test_wmae,mean_test_rmse,mean_test_wrmse,param_C,param_epsilon,param_gamma,param_kernel,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,split5_test_mae,split6_test_mae,split7_test_mae,split8_test_mae,split9_test_mae,std_test_mae,rank_test_mae,split0_test_wmae,split1_test_wmae,split2_test_wmae,split3_test_wmae,split4_test_wmae,split5_test_wmae,split6_test_wmae,split7_test_wmae,split8_test_wmae,split9_test_wmae,std_test_wmae,rank_test_wmae,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,split5_test_rmse,split6_test_rmse,split7_test_rmse,split8_test_rmse,split9_test_rmse,std_test_rmse,rank_test_rmse,split0_test_wrmse,split1_test_wrmse,split2_test_wrmse,split3_test_wrmse,split4_test_wrmse,split5_test_wrmse,split6_test_wrmse,split7_test_wrmse,split8_test_wrmse,split9_test_wrmse,std_test_wrmse,rank_test_wrmse
0,-0.008233944677379933,-0.008538316089939362,-0.011972814068134064,-0.011643160441460729,0.001,0.0,scale,linear,0,26.476025342941284,10.734539351029401,1.7803327560424804,0.9109558640618888,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'scale', 'kernel': 'linear'}",-0.008176288176667351,-0.008164737161388727,-0.008513479758866122,-0.008254510274276358,-0.008606024603022006,-0.007974640172746085,-0.007348679686555887,-0.008529607904320778,-0.008437523328811182,-0.008333955707144843,0.00034855650563825097,7,-0.008170286175819011,-0.008453684450451176,-0.008454611651243463,-0.008639219913896762,-0.009496578082816358,-0.007643890454094709,-0.007870879634715321,-0.008590911499744865,-0.008435915145971685,-0.009627183890640285,0.0005934994988631913,145,-0.011744771943554876,-0.011678207878983164,-0.01227179294120883,-0.012330746328583823,-0.01299699261922183,-0.011287060941380916,-0.010155414020700422,-0.012506869919398906,-0.012360536099899693,-0.012395747988408149,0.0007611083366880952,1,-0.010879630750111502,-0.011080238569623287,-0.011080496208960613,-0.012224458389457413,-0.012962539166493852,-0.010257272171251755,-0.010752809201151351,-0.011580830167988259,-0.011591024608014772,-0.014022305181554486,0.0010805305047694976,145
1,-0.7404061182924196,-1.0162337383145816,-0.9162128863796472,-1.5059126475604856,0.001,0.0,scale,poly,1,26.32458844184875,7.135036081767431,1.8600865364074708,0.6501897330664532,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'scale', 'kernel': 'poly'}",-0.7364162351148562,-0.7742915484223171,-0.7239519868320934,-0.7462223336473334,-0.7464133466327847,-0.7298110489461953,-0.7249158049999942,-0.740265631365611,-0.7198951071867276,-0.7618781397762844,0.016549227953192396,1577,-0.9302797529346924,-1.2367432691396836,-0.918168628468268,-1.0394511622967422,-1.0661840578411443,-0.9725858299127936,-0.9624309364912336,-1.0071085961158364,-0.900742250451502,-1.128642899493919,0.09976003340599192,1577,-0.8895780554789775,-0.9962148690006932,-0.8811479052322746,-0.928206085063756,-0.9349192753632304,-0.8983566864823008,-0.8906299567904103,-0.9178364657122424,-0.8641842293710597,-0.9610553353015274,0.038114095415177345,1577,-1.3787460694167233,-1.8437877814588963,-1.3317754337050038,-1.5565542487551969,-1.6050712912043197,-1.4050835757616535,-1.392751713756096,-1.5048998061300796,-1.3159488791889011,-1.7245076762279845,0.16730052800066045,1586
2,-0.7532370476176625,-1.0388455752405517,-0.9379344020338148,-1.5791580294704282,0.001,0.0,scale,rbf,2,10.83612949848175,1.5145904923381739,1.1113650560379031,0.10358827536067228,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'scale', 'kernel': 'rbf'}",-0.7346257894479192,-0.793934586611011,-0.7392500325035709,-0.7567662321233564,-0.7646336288869218,-0.738148178201861,-0.7373472986840619,-0.7563632978618855,-0.7357269395008946,-0.7755744923551432,0.019068663498395026,1589,-0.9268888150241088,-1.2789852620344468,-0.9296490353041262,-1.0672280028649372,-1.1007143293387645,-0.9897662861448472,-0.98273533981044,-1.031123419766782,-0.9233462637783504,-1.1580189983387141,0.10950695737793907,1597,-0.8918678474443972,-1.031093958482547,-0.9008029597515076,-0.9493292306724864,-0.963717082185948,-0.91161536001038,-0.9091572883871091,-0.9415863699691421,-0.8923868836102922,-0.98778703982434,0.04366712284183878,1592,-1.4049961494039196,-1.9487292782824683,-1.3714156427251307,-1.627941368956443,-1.7009210328520588,-1.4601866625209543,-1.4658593835991698,-1.5819846258998325,-1.4125155316139286,-1.8170306188503769,0.1840190372485913,1618
3,-0.008233944677379933,-0.008538316089939362,-0.011972814068134064,-0.011643160441460729,0.001,0.0,auto,linear,3,28.18805775642395,10.813582004778423,1.7442792177200317,0.5451908404012811,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'auto', 'kernel': 'linear'}",-0.008176288176667351,-0.008164737161388727,-0.008513479758866122,-0.008254510274276358,-0.008606024603022006,-0.007974640172746085,-0.007348679686555887,-0.008529607904320778,-0.008437523328811182,-0.008333955707144843,0.00034855650563825097,7,-0.008170286175819011,-0.008453684450451176,-0.008454611651243463,-0.008639219913896762,-0.009496578082816358,-0.007643890454094709,-0.007870879634715321,-0.008590911499744865,-0.008435915145971685,-0.009627183890640285,0.0005934994988631913,145,-0.011744771943554876,-0.011678207878983164,-0.01227179294120883,-0.012330746328583823,-0.01299699261922183,-0.011287060941380916,-0.010155414020700422,-0.012506869919398906,-0.012360536099899693,-0.012395747988408149,0.0007611083366880952,1,-0.010879630750111502,-0.011080238569623287,-0.011080496208960613,-0.012224458389457413,-0.012962539166493852,-0.010257272171251755,-0.010752809201151351,-0.011580830167988259,-0.011591024608014772,-0.014022305181554486,0.0010805305047694976,145
4,-0.7404682296082803,-1.01633674434347,-0.9162739169944571,-1.5061038226565302,0.001,0.0,auto,poly,4,20.85723102092743,8.324110245673065,1.7099743127822875,0.6420438486695489,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'auto', 'kernel': 'poly'}",-0.7348067222149073,-0.7789343018755556,-0.7246670441683295,-0.7455563617926476,-0.7454851355441149,-0.7271435450819304,-0.723507814669764,-0.739472049229512,-0.7233104119597799,-0.7617989095462623,0.01740118144918626,1578,-0.9286207651832292,-1.2419829203356243,-0.918702307954361,-1.0387676117080222,-1.0649947364534236,-0.970182628330298,-0.961175567211024,-1.0061634474777228,-0.904245322316466,-1.1285321364645249,0.10071855026646573,1580,-0.8879601832812085,-1.0010363501324349,-0.8818173130728002,-0.9274974233272492,-0.933899717356264,-0.8956439456595621,-0.8891829074121658,-0.9169919947517109,-0.8677460034446504,-0.9609633315065268,0.038887488207553715,1578,-1.3765577398751776,-1.8510825008332041,-1.3323667572451392,-1.5556410720659604,-1.603276873671985,-1.4019008162273174,-1.3910517149838548,-1.5035527754035036,-1.3212656731252457,-1.724342303133913,0.1684543031611568,1588
5,-0.7532291622910192,-1.0388366329471292,-0.937920281668546,-1.5791316113627163,0.001,0.0,auto,rbf,5,14.6621262550354,3.629625157995504,1.3504390239715576,0.2649630437158229,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'auto', 'kernel': 'rbf'}",-0.7346967432958327,-0.7935046500220612,-0.7391959452075443,-0.7568156230412398,-0.7649755955814884,-0.7384381012806245,-0.7372795332605302,-0.7564692428585904,-0.735333516161785,-0.7755826722004959,0.01901824353882963,1588,-0.9269105015458752,-1.278790228568086,-0.9296369937469712,-1.0672075106858996,-1.100742566149241,-0.9899011823710979,-0.9827706309302964,-1.0311470897533777,-0.9232373121805808,-1.1580223135398693,0.10946809252582003,1596,-0.8919555538156608,-1.0306884686158402,-0.900750133747216,-0.949352528564456,-0.9639577426824985,-0.911897581198422,-0.9091427202432769,-0.9416805830796536,-0.8919825221787144,-0.9877949825597236,0.043619021815819024,1591,-1.4050488385935993,-1.9484603848935949,-1.3714085732942043,-1.627887265165861,-1.700820321900196,-1.4603334961059151,-1.4659792229140252,-1.5820062470051084,-1.4123361054618417,-1.8170356582928169,0.18395283808411392,1617
6,-0.008233944677379933,-0.008538316089939362,-0.011972814068134064,-0.011643160441460729,0.001,0.0,0.008,linear,6,21.840472888946532,11.013727020505042,1.4602628707885743,0.6655745643639372,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.008, 'kernel': 'linear'}",-0.008176288176667351,-0.008164737161388727,-0.008513479758866122,-0.008254510274276358,-0.008606024603022006,-0.007974640172746085,-0.007348679686555887,-0.008529607904320778,-0.008437523328811182,-0.008333955707144843,0.00034855650563825097,7,-0.008170286175819011,-0.008453684450451176,-0.008454611651243463,-0.008639219913896762,-0.009496578082816358,-0.007643890454094709,-0.007870879634715321,-0.008590911499744865,-0.008435915145971685,-0.009627183890640285,0.0005934994988631913,145,-0.011744771943554876,-0.011678207878983164,-0.01227179294120883,-0.012330746328583823,-0.01299699261922183,-0.011287060941380916,-0.010155414020700422,-0.012506869919398906,-0.012360536099899693,-0.012395747988408149,0.0007611083366880952,1,-0.010879630750111502,-0.011080238569623287,-0.011080496208960613,-0.012224458389457413,-0.012962539166493852,-0.010257272171251755,-0.010752809201151351,-0.011580830167988259,-0.011591024608014772,-0.014022305181554486,0.0010805305047694976,145
7,-0.7830531389014672,-1.0618247469625974,-0.9616663784141124,-1.569526570671124,0.001,0.0,0.008,poly,7,22.702758502960204,9.221692051178232,1.7156555891036986,0.7719149219220732,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.008, 'kernel': 'poly'}",-0.773651620190389,-0.8246624802971091,-0.7681570929356879,-0.7865501316367413,-0.7904912231038512,-0.7687116623208468,-0.7646304534988438,-0.7820456424794503,-0.7650684172934926,-0.8065626652582594,0.01879204210163095,1612,-0.9689927643853404,-1.293429944001823,-0.9618940754222528,-1.084663482255245,-1.114852532607325,-1.0131044216355225,-1.0006380577635865,-1.0533560374611248,-0.9477728648271978,-1.1795432892665565,0.10422721543627013,1626,-0.9287205464416964,-1.0493930295476508,-0.9273510312586328,-0.9724835438259084,-0.9827360837049957,-0.9397866741218192,-0.932094501540996,-0.9626267390435927,-0.9127854185005636,-1.0086862161552677,0.04058846240002483,1610,-1.430048892658755,-1.923438658924827,-1.3874503246703684,-1.6192358418542918,-1.6765059556489186,-1.4606828784621404,-1.4458567386704024,-1.5688352710574225,-1.387591439713574,-1.7956197050505414,0.17410781158561267,1603
8,-0.7502702888133088,-1.0378445545361668,-0.9347181574995109,-1.5772421799807677,0.001,0.0,0.008,rbf,8,14.637276077270508,3.3418472826803516,1.4292750835418702,0.3331182740348855,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.008, 'kernel': 'rbf'}",-0.7318239273474817,-0.7915553872105169,-0.7358953511718239,-0.7540842263755312,-0.7622156804430821,-0.7349214640806423,-0.7353112976483305,-0.7528797124435438,-0.7322216103341117,-0.7717942310780239,0.019141072980894087,1584,-0.9262595399295158,-1.2772746571938358,-0.9290527788577266,-1.0656749339959457,-1.0993886119658465,-0.9890858250556408,-0.9818164524239964,-1.0302814827088782,-0.9223061186746558,-1.1573051445556244,0.10925638001321136,1590,-0.8888935081655108,-1.0279916046320672,-0.8973296271261226,-0.946204476448848,-0.9609057870090696,-0.9084605671523568,-0.9066693878231727,-0.9381320270335012,-0.8882931335104071,-0.9843014560940548,0.043723105425720034,1587,-1.4041020820462315,-1.9449617361418023,-1.3708384344703308,-1.62507647627623,-1.6982420277387618,-1.4593994361184712,-1.463807776853121,-1.580469501121969,-1.4097026191824356,-1.8158217098583227,0.18343422333934528,1613
9,-0.008233944677379933,-0.008538316089939362,-0.011972814068134064,-0.011643160441460729,0.001,0.0,0.01,linear,9,16.61799876689911,6.337837192255733,1.26048104763031,0.65883591433557,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.01, 'kernel': 'linear'}",-0.008176288176667351,-0.008164737161388727,-0.008513479758866122,-0.008254510274276358,-0.008606024603022006,-0.007974640172746085,-0.007348679686555887,-0.008529607904320778,-0.008437523328811182,-0.008333955707144843,0.00034855650563825097,7,-0.008170286175819011,-0.008453684450451176,-0.008454611651243463,-0.008639219913896762,-0.009496578082816358,-0.007643890454094709,-0.007870879634715321,-0.008590911499744865,-0.008435915145971685,-0.009627183890640285,0.0005934994988631913,145,-0.011744771943554876,-0.011678207878983164,-0.01227179294120883,-0.012330746328583823,-0.01299699261922183,-0.011287060941380916,-0.010155414020700422,-0.012506869919398906,-0.012360536099899693,-0.012395747988408149,0.0007611083366880952,1,-0.010879630750111502,-0.011080238569623287,-0.011080496208960613,-0.012224458389457413,-0.012962539166493852,-0.010257272171251755,-0.010752809201151351,-0.011580830167988259,-0.011591024608014772,-0.014022305181554486,0.0010805305047694976,145
10,-0.6781163505312817,-0.9463571948284,-0.8496778281099034,-1.4084951879456065,0.001,0.0,0.01,poly,10,24.335227560997016,7.9333811938194225,2.0395386934280397,0.8228907572787424,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.01, 'kernel': 'poly'}",-0.6709919281444479,-0.7128386423622035,-0.6600877448656246,-0.6870917518599879,-0.6840111277663204,-0.6641367388551384,-0.6679570044366284,-0.6774975008146527,-0.6611043760661217,-0.6954466901416921,0.016079504255795494,1569,-0.8662971820922631,-1.1622513704361728,-0.8526614399314584,-0.968458680090371,-0.9885401882398828,-0.9049855482124322,-0.8995318800573414,-0.9335753631153132,-0.8375072620500313,-1.0497630340587347,0.09522360510512527,1569,-0.8232895884753149,-0.9304238161144716,-0.8159791594258632,-0.8632557815592519,-0.8644003148031738,-0.8298797490761398,-0.8287194333046691,-0.8499705410981819,-0.8010958858367593,-0.8897640114052087,0.03681219581684568,1569,-1.2973417225481096,-1.7394841220450048,-1.2482948924661168,-1.457693436183103,-1.4879741907383608,-1.3134019318809156,-1.303008301429632,-1.403398660458783,-1.2201478764341065,-1.614206745271932,0.1594673701080846,1575
11,-0.7574766204829603,-1.0411720146695285,-0.9427143991867696,-1.5830896268303825,0.001,0.0,0.01,rbf,11,18.291010499000553,7.6814973589987,1.8056992053985597,0.7922391015164547,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.01, 'kernel': 'rbf'}",-0.7392757994906461,-0.7968680969842339,-0.7418585469571055,-0.7612245230649126,-0.7699539405645703,-0.7427905263667577,-0.7414045067210191,-0.7605782494558387,-0.7409497473321489,-0.7798622678923697,0.018853333567621297,1593,-0.9289322124635236,-1.2820973297069889,-0.9309778127498688,-1.0699667339585313,-1.1037583554963133,-0.991846800534556,-0.9849517978477088,-1.0333037262363372,-0.9255695484171604,-1.1603158292842957,0.10988471546820393,1604,-0.8969163460636977,-1.0352337555945328,-0.904108043854712,-0.9543435107815084,-0.969346473722958,-0.9165038787967084,-0.9137744825555522,-0.9463567043146016,-0.8982050529202167,-0.9923557432632056,0.043560726313681186,1599,-1.4078169310993156,-1.9548507924466905,-1.3737837671609572,-1.632553257908944,-1.7057621856654015,-1.4630385206250638,-1.4695735739197795,-1.5859826026306154,-1.4166849229631313,-1.820849713883926,0.18486696531699648,1625
12,-0.008233944677379933,-0.008538316089939362,-0.011972814068134064,-0.011643160441460729,0.001,0.0,0.013333333333333334,linear,12,15.966225934028625,6.4673806143745765,1.0107553005218506,0.3997587841957031,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.013333333333333334, 'kernel': 'linear'}",-0.008176288176667351,-0.008164737161388727,-0.008513479758866122,-0.008254510274276358,-0.008606024603022006,-0.007974640172746085,-0.007348679686555887,-0.008529607904320778,-0.008437523328811182,-0.008333955707144843,0.00034855650563825097,7,-0.008170286175819011,-0.008453684450451176,-0.008454611651243463,-0.008639219913896762,-0.009496578082816358,-0.007643890454094709,-0.007870879634715321,-0.008590911499744865,-0.008435915145971685,-0.009627183890640285,0.0005934994988631913,145,-0.011744771943554876,-0.011678207878983164,-0.01227179294120883,-0.012330746328583823,-0.01299699261922183,-0.011287060941380916,-0.010155414020700422,-0.012506869919398906,-0.012360536099899693,-0.012395747988408149,0.0007611083366880952,1,-0.010879630750111502,-0.011080238569623287,-0.011080496208960613,-0.012224458389457413,-0.012962539166493852,-0.010257272171251755,-0.010752809201151351,-0.011580830167988259,-0.011591024608014772,-0.014022305181554486,0.0010805305047694976,145
13,-0.5013426271892293,-0.7233869747708311,-0.6537499835239152,-1.0839782829370437,0.001,0.0,0.013333333333333334,poly,13,23.25977458953857,9.390447508844193,1.9650021314620971,0.7165630794716379,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.013333333333333334, 'kernel': 'poly'}",-0.4947604195513019,-0.5206242040115521,-0.4792365467453587,-0.5131225830472965,-0.5071459006518486,-0.4875018499765339,-0.5078740853312064,-0.5025966930798599,-0.4896256531128446,-0.5109383363844904,0.012415287570859376,1555,-0.6754764966152039,-0.8950253673184287,-0.6535753735966846,-0.745022261889794,-0.7390301286212867,-0.6937107083951058,-0.7113800938369143,-0.7051690570884059,-0.6243173426350086,-0.7911629177114791,0.07287435367569317,1562,-0.6360888649778351,-0.7198778694939627,-0.6255244477648566,-0.6735694519233802,-0.6555341201180457,-0.6410858930502471,-0.6484825486699286,-0.6521606473288037,-0.6091320062929282,-0.6760439856191637,0.029250513191551458,1560,-1.0338735992658985,-1.3676933656006178,-0.9837968139812548,-1.1442348957070372,-1.0993011201671803,-1.0199922959650392,-1.022640523897201,-1.069282639431021,-0.8803490589236886,-1.218618516431498,0.12828563653059835,1563
14,-0.7746977056095643,-1.0512529137293916,-0.9606009851813048,-1.5966242853174175,0.001,0.0,0.013333333333333334,rbf,14,19.61711428165436,9.459998188194158,1.9482463598251345,0.9516407532163192,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.013333333333333334, 'kernel': 'rbf'}",-0.7563521034989693,-0.8140640024643615,-0.7603806284372053,-0.7794619469750252,-0.7875011873714787,-0.7591019298270045,-0.7581456304442079,-0.776611180246943,-0.7589264847181225,-0.7964319621123261,0.018761243025176868,1605,-0.9384181136303616,-1.2945064279432106,-0.9395004444145314,-1.081287598683477,-1.1156352011851896,-1.000775609699293,-0.9934322644418231,-1.043053320631474,-0.93565065323054,-1.1702695034340131,0.11087244482628617,1614,-0.9147385364280588,-1.0532654169522584,-0.9227953095749324,-0.9731231181825459,-0.9878913623258948,-0.9333208657154368,-0.930757167310886,-0.96328989763538,-0.9179494524284576,-1.008878725259198,0.043373817903503815,1609,-1.41916974486075,-1.973276382015644,-1.3821767297801708,-1.6481539087876425,-1.7231057710973872,-1.4740665473731678,-1.4799362075125004,-1.5998639923439202,-1.4326034048022844,-1.8338901646007095,0.1870407675728257,1630
15,-0.008233944677379933,-0.008538316089939362,-0.011972814068134064,-0.011643160441460729,0.001,0.0,0.02,linear,15,17.218487668037415,6.86309027589123,1.1187121152877808,0.4257873541838987,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.02, 'kernel': 'linear'}",-0.008176288176667351,-0.008164737161388727,-0.008513479758866122,-0.008254510274276358,-0.008606024603022006,-0.007974640172746085,-0.007348679686555887,-0.008529607904320778,-0.008437523328811182,-0.008333955707144843,0.00034855650563825097,7,-0.008170286175819011,-0.008453684450451176,-0.008454611651243463,-0.008639219913896762,-0.009496578082816358,-0.007643890454094709,-0.007870879634715321,-0.008590911499744865,-0.008435915145971685,-0.009627183890640285,0.0005934994988631913,145,-0.011744771943554876,-0.011678207878983164,-0.01227179294120883,-0.012330746328583823,-0.01299699261922183,-0.011287060941380916,-0.010155414020700422,-0.012506869919398906,-0.012360536099899693,-0.012395747988408149,0.0007611083366880952,1,-0.010879630750111502,-0.011080238569623287,-0.011080496208960613,-0.012224458389457413,-0.012962539166493852,-0.010257272171251755,-0.010752809201151351,-0.011580830167988259,-0.011591024608014772,-0.014022305181554486,0.0010805305047694976,145
16,-0.3137077005297245,-0.4491256023106496,-0.4312610432243176,-0.6835679181343887,0.001,0.0,0.02,poly,16,22.637939834594725,9.845222148964641,1.9816409349441528,0.9829229857268312,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.02, 'kernel': 'poly'}",-0.30144733961638415,-0.3249142004780493,-0.3058315035930194,-0.3284509290609625,-0.3075000252398671,-0.3092894717412281,-0.3252366907291326,-0.3174197775037885,-0.3039300727163489,-0.31305699461846415,0.009252447724674349,1416,-0.4359736282337003,-0.5445351234256856,-0.4368100072235442,-0.4891505209632429,-0.4103687521936511,-0.4429958484192513,-0.4606400432479194,-0.4429726731537929,-0.3732312087942785,-0.4545782174514298,0.043045809688257115,1501,-0.4198203346344158,-0.476808408027179,-0.4228506773736235,-0.4578390007157285,-0.4079346333679819,-0.4294102659378279,-0.4377783718025585,-0.4321592492348237,-0.4017432445926339,-0.42626624655640294,0.02114155122189524,1498,-0.6850885240512319,-0.8853366842475837,-0.6707413401686372,-0.7480189602153285,-0.5875091694496911,-0.6610926735098268,-0.6792044126716024,-0.6903103408363895,-0.5349857726404427,-0.6933913035531528,0.08775048619416069,1492
17,-0.8055162584127462,-1.0726335279802894,-0.9926361722485136,-1.6237736090024268,0.001,0.0,0.02,rbf,17,17.788409900665282,8.445452195488715,1.7977619171142578,0.8880652186508858,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.02, 'kernel': 'rbf'}",-0.7926949319025514,-0.8471717866821463,-0.7915707888203021,-0.8084983969581738,-0.8167433168320403,-0.7883167880929041,-0.7881464054631216,-0.8069824447927536,-0.7910694719692669,-0.8239682526142018,0.01837894056773036,1622,-0.960315953036814,-1.3193305820450572,-0.9591287480666688,-1.1039821900635411,-1.1394705055058507,-1.0200022962035902,-1.010847682315816,-1.0643425120765575,-0.9571124466937908,-1.191802363795207,0.11225441605853508,1631,-0.9513498914243302,-1.08672513436756,-0.9550408609681982,-1.0042758226234811,-1.019484509624755,-0.9639200594160664,-0.9611543165695906,-0.994815479804968,-0.9520295003779904,-1.0375661473081963,0.0427961307851545,1626,-1.4425713218271208,-2.006468142931705,-1.4035788235146276,-1.6798061786215777,-1.757015908596239,-1.4979965804335855,-1.4993193296230605,-1.6274328531867048,-1.4617154718355028,-1.8618314794541482,0.1905058492901376,1637
18,-0.008442765184257312,-0.008768146811698489,-0.012166836365757685,-0.011926540153980413,0.001,0.01,scale,linear,18,5.8477286338806165,2.7679608039620605,0.19469106197357175,0.11380648354009867,"{'C': 0.001, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",-0.008308191945725275,-0.0084042203616615,-0.008727396702467428,-0.008428259878856663,-0.008831638788409618,-0.008211102507016075,-0.0075609895716512625,-0.008683919810983666,-0.008660870186063546,-0.008611062089738086,0.00034889667039682227,19,-0.00829669389414591,-0.008731689990668035,-0.008753037723590627,-0.008918255500536813,-0.009705652775672749,-0.007888794642826547,-0.008096636886711868,-0.008751642926361417,-0.008613334716704862,-0.00992572905976608,0.0006094010936196356,153,-0.01185085744872868,-0.011891483269657322,-0.012474726393483387,-0.012383843873492409,-0.013167906442574562,-0.011518223257331138,-0.010459070284425321,-0.01275698259686582,-0.012499402626991346,-0.01266586746402685,0.0007324452684014722,13,-0.011060785869291156,-0.011442002613794132,-0.011433554296055429,-0.012518259893773384,-0.013237979437541377,-0.010525474915303307,-0.01100029888115522,-0.011846160410995024,-0.011748208591222109,-0.014452676630672972,0.0011197268710314246,151
19,-0.7401200738332558,-1.01618939391301,-0.9160238300589252,-1.5059739402296874,0.001,0.01,scale,poly,19,16.430897212028505,7.405647414123548,1.3999321460723877,0.6437713455317934,"{'C': 0.001, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'poly'}",-0.7347676284245754,-0.773463665075728,-0.7251492979343305,-0.746856863648562,-0.7470782846672622,-0.7283069560997646,-0.7241461836149147,-0.7396800656146644,-0.7190260820279617,-0.7627257112247952,0.016760813743744225,1575,-0.9298370516060654,-1.2368604110170398,-0.9180752737697768,-1.0393945247289775,-1.0661507975249382,-0.9726792755743078,-0.9625322330993394,-1.0069933920895495,-0.9005925677217721,-1.128778411998333,0.09985445723804083,1576,-0.8882633408541895,-0.9957938125661692,-0.8820510527574031,-0.928580968763054,-0.9353580157188544,-0.8972746995809328,-0.8900672305930509,-0.9174012659408224,-0.8637191575592663,-0.9617287562555108,0.0383033004560856,1575,-1.3790149755880303,-1.84450746482231,-1.3310514283856865,-1.5561275341862046,-1.6047262916618872,-1.4057638757986697,-1.3931076192899745,-1.5047361945584177,-1.3162809056017015,-1.7244231124039942,0.16735432610662912,1587
20,-0.7527100314620584,-1.038812698566126,-0.93758129429349,-1.579326637888321,0.001,0.01,scale,rbf,20,26.698301362991337,8.88645225534824,2.6557247638702393,0.8787507940716017,"{'C': 0.001, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",-0.7344553290857868,-0.7923959953848556,-0.7392892618659813,-0.7567640361895707,-0.7640920253665014,-0.7367734863896147,-0.7381035513450337,-0.7551320687172629,-0.7359783767669675,-0.7741161835090093,0.01856252217901404,1587,-0.927073844791812,-1.2790225183902342,-0.9294207174428848,-1.0670552684206729,-1.100900372370994,-0.9896631793596488,-0.9824547897802324,-1.0311528400293133,-0.9234866855159328,-1.1578967695595377,0.10951580904666336,1595,-0.8917756890292247,-1.0302559320793387,-0.9007094963583376,-0.9492408726339572,-0.9634243670214592,-0.9106399717803254,-0.909618410273884,-0.940779865519076,-0.8925792251266351,-0.9867891131126596,0.04337587564765849,1590,-1.4053719037012726,-1.9496036182477712,-1.370951807054506,-1.6276174616901622,-1.7014754540801245,-1.4605888083911118,-1.4651666355141908,-1.5825649429430666,-1.4124980863726695,-1.8174276608883329,0.18431039755955156,1620
