,mean_test_mae,mean_test_wmae,mean_test_rmse,mean_test_wrmse,param_ccp_alpha,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,split5_test_mae,split6_test_mae,split7_test_mae,split8_test_mae,split9_test_mae,std_test_mae,rank_test_mae,split0_test_wmae,split1_test_wmae,split2_test_wmae,split3_test_wmae,split4_test_wmae,split5_test_wmae,split6_test_wmae,split7_test_wmae,split8_test_wmae,split9_test_wmae,std_test_wmae,rank_test_wmae,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,split5_test_rmse,split6_test_rmse,split7_test_rmse,split8_test_rmse,split9_test_rmse,std_test_rmse,rank_test_rmse,split0_test_wrmse,split1_test_wrmse,split2_test_wrmse,split3_test_wrmse,split4_test_wrmse,split5_test_wrmse,split6_test_wrmse,split7_test_wrmse,split8_test_wrmse,split9_test_wrmse,std_test_wrmse,rank_test_wrmse
0,-0.1208527325125,-0.33916481761404654,-0.4958739288880049,-1.5248617851921362,0.0,squared_error,,2,100,0,196.18955020904545,159.84553371037043,0.22531180381774898,0.20301042194184796,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",-0.1263107322847778,-0.10409192817715104,-0.1267660073853025,-0.1309539464164955,-0.1376786664583739,-0.12655996087383384,-0.10687269429531952,-0.11445671395473644,-0.10687627000109574,-0.1279604052779137,0.011160695375624792,29,-0.4438591332923447,-0.1388939010390359,-0.21482806480903233,-0.3500634029172196,-0.4839970516901773,-0.6033404304811079,-0.4896054392933219,-0.2103860406403903,-0.20331627535605756,-0.2533584366217777,0.1491465028033534,71,-0.6165841366158042,-0.2640201161086974,-0.40669750070155103,-0.5932634554553278,-0.6036779008269061,-0.7304347260224346,-0.6021629851642628,-0.4175124301672614,-0.3311160420911067,-0.3932699957266964,0.14405394136400526,34,-2.3854021040107987,-0.3752182359542483,-0.7453002419452519,-1.5825780875435502,-1.978736181188436,-3.0583571839394534,-2.552748901971954,-0.9800057779630644,-0.790687619554157,-0.7995835178504495,0.8746043489045495,1010
1,-0.11897177985769285,-0.3301544813057889,-0.4829237821753685,-1.4925441954334269,0.0,squared_error,,2,150,1,358.39211831092837,225.14513905014505,0.463110065460205,0.37632597318445904,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 150}",-0.1246449240874563,-0.10301456546782146,-0.12061227168601635,-0.12781547554617265,-0.13379790058473046,-0.12309743618471895,-0.10823374921524892,-0.11122033580677332,-0.10653368491665263,-0.1307474550813373,0.010360102504484974,4,-0.40487919124047017,-0.13484844635551266,-0.1995941080851063,-0.3447573558071833,-0.4618461110385274,-0.5891478605546095,-0.4959025662946226,-0.21771418275217233,-0.1943066013355085,-0.2585483895941758,0.14460465679823736,1,-0.5666197603383193,-0.2586433089924651,-0.36980632286465587,-0.5844100876815049,-0.5750580474244904,-0.7094803118604175,-0.6110453375451146,-0.4251322056240079,-0.321977821898001,-0.4070646175247084,0.13843105701239095,1,-2.126248050546887,-0.36019483623185705,-0.705959861023182,-1.5812910492610757,-1.9276805762320963,-3.0005448009595597,-2.5874254480216985,-1.1000001686106278,-0.7228907909578975,-0.8132063724893901,0.8473793762891664,186
2,-0.11978885103443453,-0.33525107460516457,-0.4926281128267692,-1.5126688053941169,0.0,squared_error,,2,200,2,114.04575164318085,54.34532061736021,0.09779369831085204,0.049018336242754285,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",-0.1278540169618154,-0.10215542078710188,-0.12081396694393995,-0.12691591507367067,-0.1352107679393846,-0.12717037137228512,-0.10773596300297524,-0.11130009208181484,-0.10734812295084299,-0.13138387323051465,0.01107565088436947,15,-0.4447126565769935,-0.13414985664725973,-0.20779904642383326,-0.3416349944319196,-0.4549109604771512,-0.5938423469244393,-0.4921043168435224,-0.21812742389594172,-0.19878207861608227,-0.2664470652145024,0.1454561493540425,45,-0.6203161829661724,-0.26234907003215235,-0.3736771557497309,-0.5691502231925487,-0.5646430334868789,-0.7338348234522207,-0.6040365930902939,-0.4309031444252813,-0.3374335327731521,-0.4299373690992612,0.14033594644461475,18,-2.387887543534298,-0.3592859120087741,-0.7208260954741115,-1.5615774060067291,-1.8100678138614896,-2.9607250496151893,-2.565322119318027,-1.100858443121188,-0.7661055780039571,-0.8940320929974055,0.8443195326228434,748
3,-0.11947701340062675,-0.3339708074336459,-0.4896333399101389,-1.5113133185289347,0.0,squared_error,,2,350,3,257.24056766033175,105.95775947004392,0.21827709674835205,0.08938524454415224,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 350}",-0.1276861276474912,-0.10198401529150362,-0.12329641535996767,-0.1252661430811794,-0.13447294217491715,-0.12641622418872933,-0.10755640674705616,-0.11239234066019928,-0.10629847458552903,-0.12940104426969465,0.010765596334313295,9,-0.42506691133985,-0.13496032516733267,-0.21225334045116204,-0.3417318541504313,-0.465267994829363,-0.5978615558635287,-0.4905604002450297,-0.21417034405303031,-0.19673272486221213,-0.26110262337451945,0.14583306946555233,25,-0.6002728748966532,-0.2512758270077209,-0.3919944331309016,-0.5640285112231653,-0.5768256897848195,-0.7373831350471686,-0.6044857932424946,-0.4348162015001947,-0.3328480414495758,-0.40240289181869493,0.1419481105000783,8,-2.2572395336375206,-0.3622367967578859,-0.739715765447962,-1.5819504219164413,-1.9037824473536509,-3.0273192898551544,-2.5647843975258406,-1.0597291663218251,-0.7743297348387003,-0.8420456316343663,0.8505430546363897,707
4,-0.11917974596952095,-0.33412870466300104,-0.4906664648773117,-1.5171714523569813,0.0,squared_error,,2,500,4,755.1077433109282,585.1837998122752,0.6946848154067993,0.6534623794409486,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 500}",-0.12596246297456426,-0.10184165420655147,-0.1231285190647712,-0.12680560616076678,-0.13306049820418753,-0.12488091515921325,-0.10707605904559836,-0.11282328843847655,-0.10858594383439568,-0.12763251260668432,0.010080285404155898,6,-0.4272826426642726,-0.1339606597289976,-0.20510214187158954,-0.3421991402849362,-0.4723599937456894,-0.5929682785725503,-0.4953739786532552,-0.21927693035576865,-0.1996162645594497,-0.25314701619350155,0.1467672652104592,28,-0.5964573646926344,-0.2533908914795227,-0.38855086388888704,-0.5754369360948189,-0.5781357503376108,-0.7209734092160005,-0.6137099420978769,-0.43657551876741707,-0.3506668440569354,-0.39276712814141385,0.13894132113269214,15,-2.2766444659597913,-0.3600227107735837,-0.7219028109373605,-1.5719404029349149,-1.9512559433389185,-2.9963960749375165,-2.607569460663668,-1.086777274941692,-0.7880504781004104,-0.8111549009819569,0.8562746567696531,868
5,-0.11904395362067302,-0.33355436810257055,-0.4870352801236063,-1.5087273357205289,0.0,squared_error,,2,1000,5,1020.4463466405867,750.0580810929149,1.0001679420471192,0.8986125659842149,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 1000}",-0.1251347056219287,-0.1018495054720186,-0.1220416305529649,-0.1258860406006438,-0.13457066574956206,-0.1248017283588007,-0.1074424971527832,-0.1120351125976676,-0.10772491554693456,-0.1289527345534261,0.010357603462809312,5,-0.4202221221468148,-0.13361841222899867,-0.20846289228069245,-0.3403335370215588,-0.4684843637029396,-0.5973173983057273,-0.4929353652367939,-0.21928951126323995,-0.1958087347211892,-0.259071344117751,0.14626581980931852,20,-0.5872884657224511,-0.25362021782860816,-0.3786771423032436,-0.5623516256564763,-0.5771350194024911,-0.7239485914516077,-0.6093251348167998,-0.43539793128866255,-0.33765566645912515,-0.4049530063065975,0.13887627715950746,3,-2.2420537097883457,-0.3577592355599112,-0.7257919654689803,-1.5593745096245015,-1.9085505860745904,-3.0253987223705434,-2.586146832462845,-1.1077403038641958,-0.7394448304755813,-0.8350126615157983,0.8547227153939979,618
6,-0.12156573027668467,-0.3354709283982753,-0.4979106948716801,-1.5049037605633473,0.0,squared_error,,3,100,6,157.65039284229275,111.75697031290576,0.16909279823303222,0.1800404945501398,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 3, 'n_estimators': 100}",-0.12616597143503214,-0.10139503581397613,-0.12811601526876276,-0.1278298478378733,-0.13560909437544233,-0.1285957525170866,-0.1086248070501182,-0.1125613495244424,-0.11433104742718847,-0.13242838151692438,0.010842905600523624,43,-0.4538539378142964,-0.1352726751443508,-0.2235765405560787,-0.3375409486808758,-0.4375822838353301,-0.5862075820409467,-0.4931514751177986,-0.2170576596419231,-0.20499160824858131,-0.2654745729025718,0.1416768558123461,52,-0.6324278649535566,-0.2428675660815795,-0.4039967689773571,-0.5763261071393145,-0.5604439253095842,-0.7333583753544444,-0.6045725179642218,-0.42934655472839794,-0.3734392441138519,-0.42232802409449227,0.13954940060643944,42,-2.4720623321946107,-0.35811933292315384,-0.7466502514758389,-1.545146477729426,-1.7329039952429235,-2.9549745330490875,-2.5601736153016117,-1.0793572699179002,-0.7576840263139331,-0.8419657714849835,0.8528936527699477,487
7,-0.1216864673126391,-0.3348624613538521,-0.4992539008035966,-1.5126652190984469,0.0,squared_error,,3,150,7,182.37249784469608,151.889035445451,0.1599982738494873,0.15677711794958973,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 3, 'n_estimators': 150}",-0.12786059716999126,-0.10283919208505203,-0.12814634342838294,-0.12838601935172533,-0.13796244728058196,-0.12783526229596195,-0.10827714914094158,-0.1128599053399916,-0.11219191896173812,-0.13050583807202418,0.010992336524528155,46,-0.4398306440697851,-0.1365299283575385,-0.20320394584961454,-0.34584707349463106,-0.4760797448192214,-0.5790908849662485,-0.502037029781615,-0.2163190977165992,-0.2018097824449316,-0.2478764820383367,0.1465155366639931,40,-0.6240438880781826,-0.2494074971658507,-0.42433813160797934,-0.5673863646326843,-0.5980059806210376,-0.7224070776258046,-0.6192357157234553,-0.431517060383411,-0.35466651011778383,-0.40153078207977827,0.14044170390963925,44,-2.381793521307276,-0.3625072597947021,-0.7193806989492247,-1.5631415817577905,-1.9450084413681576,-2.9272429892058365,-2.638537132547093,-1.0677575944987134,-0.7432237514570822,-0.7780592200985933,0.8657518677705853,747
8,-0.12110509494856528,-0.33432331858841535,-0.4965198544207855,-1.5076458831440682,0.0,squared_error,,3,200,8,102.60603759288787,50.84754034602431,0.08594338893890381,0.036202647020342996,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 3, 'n_estimators': 200}",-0.12795256109369665,-0.10375698280128566,-0.12472495243489536,-0.12778387894775642,-0.1348685858608766,-0.12659004931118445,-0.10893678259297583,-0.11353560995663023,-0.11118721881464938,-0.1317143276717022,0.010204693688070664,35,-0.4380114965086375,-0.1371275118543578,-0.20635671371231046,-0.3453729499948742,-0.4563873186375419,-0.6020664755601499,-0.4963168874383891,-0.21680756947872865,-0.18912447270835894,-0.25566178999080463,0.1483385309110908,32,-0.6151727168778022,-0.2531654502171716,-0.40592539989041,-0.5759172117702837,-0.5731806537269701,-0.7453477328779161,-0.6097015781881971,-0.43211078495873617,-0.34184074596508257,-0.4128362697352851,0.142650115446997,37,-2.3543935432949636,-0.3603070350850071,-0.7372517001676375,-1.5843577150781207,-1.8559713919288037,-3.0722655606455604,-2.583877003951934,-1.0596783497769993,-0.640381642275381,-0.8279748892362733,0.8817694477384443,578
9,-0.12075000084225634,-0.3331361224609625,-0.4952686355307961,-1.508154269390937,0.0,squared_error,,3,350,9,220.4794335603714,109.76922884869127,0.18566701412200928,0.0734771120520866,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 3, 'n_estimators': 350}",-0.12577410615509368,-0.10293827336798908,-0.12479462427502225,-0.12826335234319206,-0.13772991339745186,-0.12587300964777365,-0.10828349672300876,-0.11358028586062853,-0.11018818424178843,-0.13007476241061566,0.01065454379589618,26,-0.4257203573584587,-0.13401545047145574,-0.20662424503395324,-0.3435367285681195,-0.4602873942872813,-0.5969601729131321,-0.49493727675652505,-0.21413006928085984,-0.2001909048345145,-0.2549586251053251,0.1463670359179504,12,-0.5983427051940543,-0.25166836533594716,-0.3950250688102293,-0.5903581225177543,-0.5809766890226203,-0.7387031757777643,-0.610685016607628,-0.430526613238502,-0.35156276191390134,-0.40483783688956,0.14212809800497525,30,-2.2793250401767606,-0.3516804964180393,-0.7238603940449392,-1.579888545198227,-1.8622685140037307,-3.0634769018894903,-2.587846168078911,-1.0499332595954012,-0.7610964714113048,-0.8221669030925706,0.8660946330553583,592
