,mean_test_mae,mean_test_wmae,mean_test_rmse,mean_test_wrmse,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_max_iter,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,split5_test_mae,split6_test_mae,split7_test_mae,split8_test_mae,split9_test_mae,std_test_mae,rank_test_mae,split0_test_wmae,split1_test_wmae,split2_test_wmae,split3_test_wmae,split4_test_wmae,split5_test_wmae,split6_test_wmae,split7_test_wmae,split8_test_wmae,split9_test_wmae,std_test_wmae,rank_test_wmae,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,split5_test_rmse,split6_test_rmse,split7_test_rmse,split8_test_rmse,split9_test_rmse,std_test_rmse,rank_test_rmse,split0_test_wrmse,split1_test_wrmse,split2_test_wrmse,split3_test_wrmse,split4_test_wrmse,split5_test_wrmse,split6_test_wrmse,split7_test_wrmse,split8_test_wrmse,split9_test_wrmse,std_test_wrmse,rank_test_wrmse
0,-0.05112238771016868,-0.05232493603540743,-0.0794160901623804,-0.08741601177967269,logistic,0.0001,"(100,)",constant,2000,0,19.651789808273314,14.204939217192766,0.016619586944580083,0.01628740403325157,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 2000}",-0.055873281765359786,-0.050063054821584886,-0.051291398372945496,-0.05041676982838241,-0.05533020623602585,-0.053880704162851234,-0.05044117851078432,-0.04485562573988385,-0.05514112614148707,-0.04393053152238186,0.003964127819105956,82,-0.05365338732740855,-0.05272419536284058,-0.04868239737798497,-0.051166914665311335,-0.05850740429829598,-0.05484881827785819,-0.05315037498089417,-0.04367322411263844,-0.05530714338993066,-0.05153550056091147,0.0038233025688092625,91,-0.07775980375055246,-0.0800520653479261,-0.08552046872887015,-0.07851741376724519,-0.08097573542994835,-0.08656835453221103,-0.07384386479081476,-0.07130138674207749,-0.08487239048310287,-0.07474941805105555,0.004932071917692939,96,-0.07768119013529241,-0.0893267951515086,-0.08585480229918463,-0.0833999778724541,-0.08909390746619476,-0.0913177440788004,-0.08557167609839868,-0.06962937318320285,-0.08869702805297061,-0.1135876234587198,0.010683552522614943,105
1,-0.04855575766022376,-0.05031959242193085,-0.07690460731649115,-0.08487406274496488,logistic,0.0001,"(100,)",invscaling,2000,1,29.314423155784613,13.858030847119625,0.029742431640625,0.016868513780187753,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 2000}",-0.049575252564476584,-0.04895519724060958,-0.04681241701907402,-0.04937587713979053,-0.05058239111435632,-0.048482239872984376,-0.04895986154424549,-0.05180904720116758,-0.048752709961887575,-0.0422525829436455,0.002440069607933622,43,-0.04985106099804356,-0.05224785856270951,-0.04629118368774512,-0.05211871869532225,-0.05106643561280596,-0.051671374055839006,-0.05073290259589247,-0.05169357952688307,-0.04861353598267576,-0.048909274501391764,0.0018095867952390386,61,-0.0739910913039989,-0.07725093638099466,-0.08054390123486306,-0.07789224688608815,-0.07613194957557673,-0.08271957429571869,-0.07566869079963852,-0.07624686121443935,-0.07812350770124217,-0.07047731377235122,0.0031936686192478576,67,-0.07676902597371417,-0.0840338655973652,-0.0834342716596813,-0.08640384817982669,-0.07872937502954708,-0.08954498862745197,-0.08982823691783864,-0.07589145270744048,-0.08048605457852266,-0.1036195081782606,0.007786289198704778,95
2,-0.04914698182934732,-0.050426308905874316,-0.07724981790752636,-0.0855625635637163,logistic,0.0001,"(100,)",adaptive,2000,2,3.9495461463928216,1.2294871138248975,0.005192255973815918,0.003956412407932046,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 2000}",-0.051043867300923744,-0.05117875745068847,-0.0521391642225991,-0.04984554989313232,-0.05609729877368078,-0.04731645010041949,-0.046161596042854705,-0.043079249491932786,-0.049789737125609884,-0.04481814789163192,0.003656597231897011,52,-0.05229888540999573,-0.05326468970930416,-0.05135812842203464,-0.049318431034930416,-0.054137420595246,-0.048038255992904004,-0.04813319412313993,-0.043276996969938225,-0.05036933173989717,-0.05406775506135286,0.003205747792444591,64,-0.0762851348764938,-0.08096042921094372,-0.08095901239465349,-0.07703132656095422,-0.07646532175528965,-0.08058672507747619,-0.07289585061113893,-0.06933094754110387,-0.07979628459064447,-0.07818714645656512,0.003595609989366173,70,-0.081873884691113,-0.0912893939077592,-0.08261564954320688,-0.08011739835542879,-0.07358039160647996,-0.08479546560330384,-0.08418335614489406,-0.06958065252991757,-0.08207890419268356,-0.12551053906237605,0.014471345032682359,98
3,-0.04861607886745591,-0.048191662264482814,-0.07606698787172649,-0.08014136060136279,logistic,0.0001,"(100, 100)",constant,2000,3,8.013795709609985,3.8364931191559095,0.010427927970886229,0.00691401140773924,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 2000}",-0.04939415891116275,-0.05252157423050145,-0.05144681803343218,-0.04812181041036001,-0.046995180553235545,-0.048817544430864834,-0.04413583106850675,-0.04602412963225992,-0.05031214227965044,-0.048391599124585225,0.002377002971556941,44,-0.04720265184626017,-0.053810197658659825,-0.05111323985346543,-0.04634041615436425,-0.046557012210557226,-0.046856560389913815,-0.04151160928456251,-0.04481597675442709,-0.04847380018134898,-0.0552351583112688,0.003932838491579454,41,-0.07376854321056123,-0.07999574723472384,-0.08271687977594118,-0.07513441196346549,-0.0711742192863283,-0.08089553291930371,-0.06974041684569046,-0.07015036244644278,-0.07679366498504406,-0.08030010004976394,0.004544689709665447,61,-0.0713449848793355,-0.08146825938802882,-0.08733727287802795,-0.07223331336973465,-0.06983460053866686,-0.08274794695488846,-0.06735741712106398,-0.06710893380946018,-0.07443520756068459,-0.12754566951373694,0.017086488495679366,63
4,-0.05191713910969359,-0.05206079256476035,-0.07906136070625089,-0.0844231444990469,logistic,0.0001,"(100, 100)",invscaling,2000,4,8.402499794960022,4.794034723527064,0.01083204746246338,0.007705321911413105,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'max_iter': 2000}",-0.052008442503774274,-0.0506800976028731,-0.04721693966238963,-0.05344762358131211,-0.06809657025009651,-0.051931137532832086,-0.042830031317221906,-0.04203906433274969,-0.06070576418931471,-0.050215720124371886,0.007402929826961841,95,-0.05025177531836705,-0.05092280432678764,-0.04646892470844358,-0.05141199642118125,-0.06670101860572344,-0.05378951222766673,-0.04077342197040471,-0.03846035162224417,-0.05882767102695751,-0.06300044941982738,0.008552342593601563,85,-0.0752273659906636,-0.07979238450804177,-0.07856030764971185,-0.08061010926933375,-0.08819222779582075,-0.08506310436832339,-0.066141022861597,-0.06673511201862461,-0.08635185043827118,-0.08394012216212092,0.007301385751710784,90,-0.0735049852108276,-0.08229784181928622,-0.08072501564906114,-0.07819939911205853,-0.08572540247861006,-0.09038729653366843,-0.0657906076667102,-0.05934600756902566,-0.0852216954883176,-0.14303319346290372,0.021506303753406064,93
5,-0.0484177564609667,-0.048849836874471086,-0.07566832755933575,-0.08024340691889628,logistic,0.0001,"(100, 100)",adaptive,2000,5,12.721914601325988,16.04963567772807,0.01436913013458252,0.021621523978228373,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 2000}",-0.05181964532046519,-0.05170270722907462,-0.046302607108325705,-0.04937546134730702,-0.048430509219461966,-0.05062170776172411,-0.0428327109441556,-0.046686723808359434,-0.050513755879032465,-0.045891735991760885,0.0027852391136876037,39,-0.053072799434791686,-0.052999723486407795,-0.04745279223680165,-0.047139741716004456,-0.04643139129679113,-0.0521062309718991,-0.041347309373371964,-0.0426306408057436,-0.05002015015352439,-0.055297589269375086,0.004407874489383286,49,-0.07541295986748374,-0.08243140952550403,-0.07832830103446149,-0.0759655074883339,-0.07003701299801987,-0.08015291872520962,-0.06783083145776747,-0.07008913901536579,-0.07878684827757912,-0.07764834720363252,0.004593374206010479,58,-0.07601629203462394,-0.08396589812309327,-0.08492656511216913,-0.07391714012349995,-0.06478932107575744,-0.08435222828198545,-0.06807665546063757,-0.06346030326459147,-0.07894257227561573,-0.12398709343698873,0.016414307587471602,64
6,-0.05141631736510779,-0.05229870205908969,-0.07791730986695891,-0.08293435876459479,logistic,0.0001,"(100, 100, 100)",constant,2000,6,47.22029769420624,42.45878079789066,0.044283056259155275,0.03884640549691097,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'constant', 'max_iter': 2000}",-0.04657738532472277,-0.053977131532658054,-0.047865194276938854,-0.052211181373034654,-0.053061486792203086,-0.050793753154678524,-0.05662927822265459,-0.048052684063789694,-0.04973414168132199,-0.05526093722907563,0.003200145183084025,85,-0.04652825740020975,-0.057115745596423975,-0.04602974166870704,-0.055662383485542886,-0.05002648015459322,-0.048912784591675584,-0.05618320322956625,-0.0466625598311728,-0.048681811382352204,-0.06718405325065319,0.0063659611482982615,90,-0.0719649524253946,-0.08319913166877947,-0.0793375086849443,-0.07932990654007151,-0.07569593779168983,-0.07970963282052679,-0.07722602722646185,-0.07121067769403673,-0.07972353445653102,-0.08177578936115305,0.003729538955896825,77,-0.0725929611531108,-0.09123504788508566,-0.08051322103392346,-0.08388164620177099,-0.07002961472939029,-0.08102492426779061,-0.07735406399246125,-0.06757385987270212,-0.07896621387860031,-0.1261720346311124,0.015827542350823474,85
7,-0.0476546037719172,-0.04735369262318028,-0.0742244289814882,-0.07790298573965837,logistic,0.0001,"(100, 100, 100)",invscaling,2000,7,33.94468214511871,38.074492833867005,0.03473894596099854,0.03922648388090643,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'max_iter': 2000}",-0.04630124370621938,-0.04748820158842303,-0.04607654531954803,-0.0532909072573753,-0.04746593750323772,-0.048267772741179264,-0.04775778906727171,-0.042616275856261515,-0.04758309701376046,-0.049698267665895586,0.0025711106642470143,33,-0.04501787871004585,-0.04886873448860795,-0.04475522277129789,-0.05421157748828812,-0.04559986255159268,-0.049785085795293636,-0.046110638856227744,-0.03818464858253589,-0.046527040386033815,-0.05447623660187923,0.004555789058976541,32,-0.07022173079867375,-0.07608424360975435,-0.07427211398749572,-0.07906873836459619,-0.07066554469748197,-0.08057832493021333,-0.07193027283115025,-0.06743458266355122,-0.07440271623980528,-0.07758602169216001,0.003983528823665178,41,-0.06756288583288007,-0.07822481832362133,-0.07499417547680856,-0.07973322093669033,-0.06779386635428793,-0.0863763488348946,-0.07153165475000046,-0.059814076098231965,-0.07343377776197653,-0.11956503302719212,0.015544538822169328,48
8,-0.05003393628695103,-0.050326322571707174,-0.0756411743217105,-0.08071991560850991,logistic,0.0001,"(100, 100, 100)",adaptive,2000,8,32.21057674884796,38.18682711452011,0.03076176643371582,0.034958168385990716,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'max_iter': 2000}",-0.04724355793897958,-0.0538572993114256,-0.04702399528316892,-0.05485760358013681,-0.05012820995276407,-0.04808372221243139,-0.04997317743820597,-0.04426693886412715,-0.05994372521996055,-0.04496113306831029,0.0046448170007899635,65,-0.0478122832378435,-0.054231146769958515,-0.044328260438610115,-0.0540068295299522,-0.05181691179892805,-0.04707107000761365,-0.051385181235001375,-0.04057573627864089,-0.06078133757633841,-0.05125446884418502,0.0053877023033157105,62,-0.07084108168957137,-0.08097851642908617,-0.07744770348995703,-0.07804726809173752,-0.07403466595113875,-0.07815606843817223,-0.07136112320611611,-0.06795930908634405,-0.08315549736717269,-0.07443050946780913,0.004524899531949515,56,-0.07232747010074328,-0.0823937468755544,-0.0768288303365989,-0.07705408976092873,-0.07601437684743728,-0.07950327714598962,-0.07705839225080713,-0.061993860111928215,-0.08593622717466354,-0.11808888548044813,0.013831694415489959,66
9,-0.04637824608687016,-0.04570084074616625,-0.07325365613090283,-0.07807698956505785,logistic,0.0001,"(100, 10, 100)",constant,2000,9,6.4999082565307615,3.1750774438411207,0.007250595092773438,0.005383074177462098,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 10, 100), 'learning_rate': 'constant', 'max_iter': 2000}",-0.04383577050491489,-0.04902343482136953,-0.05034428121277849,-0.04488594684992013,-0.05528343226253976,-0.04078242310612719,-0.048310387001549854,-0.04551173889632955,-0.04455697992167395,-0.04124806629149822,0.004197057674328749,22,-0.041533457446502026,-0.04758736588505802,-0.048524385656489116,-0.042087504224082674,-0.054282631340632104,-0.03985513920793813,-0.0455461448506757,-0.04369877920809963,-0.04519656990886625,-0.04869642973331886,0.004037747482313844,19,-0.06736666372325789,-0.07646023127535469,-0.07985783643058217,-0.07392646780035847,-0.07696013883444984,-0.07172387062942594,-0.0698266007173399,-0.06823494890875778,-0.07111067560457318,-0.0770691273849285,0.004014564134073614,36,-0.06439205517789863,-0.07442275345724067,-0.0805503299031787,-0.07184483567482575,-0.07482424518083973,-0.07305818929529058,-0.06857437042879473,-0.0644879865926843,-0.0711922044563851,-0.1374229254834402,0.020311715524993244,50
