,mean_test_mae,mean_test_wmae,mean_test_rmse,mean_test_wrmse,param_C,param_epsilon,param_gamma,param_kernel,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,split5_test_mae,split6_test_mae,split7_test_mae,split8_test_mae,split9_test_mae,std_test_mae,rank_test_mae,split0_test_wmae,split1_test_wmae,split2_test_wmae,split3_test_wmae,split4_test_wmae,split5_test_wmae,split6_test_wmae,split7_test_wmae,split8_test_wmae,split9_test_wmae,std_test_wmae,rank_test_wmae,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,split5_test_rmse,split6_test_rmse,split7_test_rmse,split8_test_rmse,split9_test_rmse,std_test_rmse,rank_test_rmse,split0_test_wrmse,split1_test_wrmse,split2_test_wrmse,split3_test_wrmse,split4_test_wrmse,split5_test_wrmse,split6_test_wrmse,split7_test_wrmse,split8_test_wrmse,split9_test_wrmse,std_test_wrmse,rank_test_wrmse
0,-0.21591192582447807,-0.6324755536644018,-0.4854547488384434,-1.4429652447761154,0.001,0.0,scale,linear,0,102.56786787509918,77.25285971420071,9.740860986709595,7.037654312768061,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'scale', 'kernel': 'linear'}",-0.22855527764734224,-0.2173440140199679,-0.22348263359056975,-0.2066788734324872,-0.22134116150845093,-0.21587290171011572,-0.19678125953552209,-0.2299445947573798,-0.22383730763613088,-0.19528123440681397,0.011769806764488518,754,-0.6915660065571547,-0.5323250054934923,-0.4268805008568107,-0.5321916597162244,-0.5985219199668447,-0.5862618473173677,-0.4760640886908544,-1.4841577276710942,-0.5797814674863259,-0.4170053128878483,0.29464685951429265,1430,-0.5114114302905949,-0.4041847920556278,-0.4578253593340766,-0.4282158998596672,-0.4549687951355448,-0.4519241638614773,-0.34835261796482364,-0.9366238541371441,-0.4884574105077877,-0.37258316523768864,0.1576297826916351,581,-1.5260139771421757,-0.8631948191778341,-0.7999678868358001,-1.0614325989133016,-1.1462123575328882,-1.050101882904418,-0.7863906844032715,-5.233651704906478,-1.257493786711315,-0.7051927492336698,1.285439590451131,1257
1,-0.506163839608666,-1.2320462707124429,-0.8323922116424305,-2.1796410024544843,0.001,0.0,scale,poly,1,140.19072387218478,63.38370558236101,13.075157999992369,5.890436763190776,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'scale', 'kernel': 'poly'}",-0.529824151239236,-0.5062629714838246,-0.5047459618917282,-0.4966424585882307,-0.49474811477291597,-0.5136290534361311,-0.5021996587160271,-0.5212339057285286,-0.5088124822914035,-0.483539637938635,0.012650007393791648,1571,-1.3445165919069633,-1.1194582204559358,-0.8758183424485076,-1.1133606470978046,-1.2118923372181196,-1.2159852370689983,-1.1420520164581378,-2.1307266591516583,-1.1986682365375387,-0.9679844187807624,0.32458320279247005,1589,-0.8729764552847143,-0.7756126215704771,-0.7732132216563566,-0.7741902141751041,-0.8181036306631959,-0.8040420164151992,-0.773628114398645,-1.1848129963322127,-0.8398326868132054,-0.7075101591151938,0.12492919654026335,1530,-2.2610287939142606,-1.638451806863724,-1.3898562014021087,-1.7747019346012491,-1.9904401676923784,-1.8265221740989177,-1.6830336793291465,-5.799711874839839,-1.9966063958200997,-1.4360569959831238,1.2323021568537618,1573
2,-0.5237528218530793,-1.2843244904733306,-0.8514178471179359,-2.2283686655458266,0.001,0.0,scale,rbf,2,18.864350581169127,8.9172494602495,1.6603934288024902,0.6111762618751271,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'scale', 'kernel': 'rbf'}",-0.5461449795451613,-0.5358083209524459,-0.5241502349591496,-0.5076917812844952,-0.5074964824133503,-0.52589925964927,-0.5219371852626834,-0.5446022632075199,-0.5276254017301355,-0.4961723095265813,0.0154512516945198,1583,-1.4117536647997198,-1.2070010730551204,-0.9435970368847112,-1.1493247662784525,-1.2415554879608854,-1.2457402600884504,-1.1817208454337955,-2.1883724556386213,-1.2417379831223745,-1.0324413314711731,0.3244910055170833,1621,-0.8989696831384637,-0.8188983555621524,-0.8048398332359116,-0.7823050896201874,-0.8250210363070565,-0.8138754183984217,-0.7868177624632083,-1.2055523865949618,-0.8504159458687219,-0.7274829599902743,0.12542579785782276,1548,-2.3502638456084712,-1.7402311078441317,-1.4814381314693192,-1.7926078035091406,-2.0327168273813063,-1.8479452471588156,-1.7115639820581832,-5.813067223788719,-2.0214970857130576,-1.4923554009271192,1.2200652970802548,1608
3,-0.21591192582447807,-0.6324755536644018,-0.4854547488384434,-1.4429652447761154,0.001,0.0,auto,linear,3,18.33539946079254,10.445088489828523,1.5187689542770386,0.925214489824076,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'auto', 'kernel': 'linear'}",-0.22855527764734224,-0.2173440140199679,-0.22348263359056975,-0.2066788734324872,-0.22134116150845093,-0.21587290171011572,-0.19678125953552209,-0.2299445947573798,-0.22383730763613088,-0.19528123440681397,0.011769806764488518,754,-0.6915660065571547,-0.5323250054934923,-0.4268805008568107,-0.5321916597162244,-0.5985219199668447,-0.5862618473173677,-0.4760640886908544,-1.4841577276710942,-0.5797814674863259,-0.4170053128878483,0.29464685951429265,1430,-0.5114114302905949,-0.4041847920556278,-0.4578253593340766,-0.4282158998596672,-0.4549687951355448,-0.4519241638614773,-0.34835261796482364,-0.9366238541371441,-0.4884574105077877,-0.37258316523768864,0.1576297826916351,581,-1.5260139771421757,-0.8631948191778341,-0.7999678868358001,-1.0614325989133016,-1.1462123575328882,-1.050101882904418,-0.7863906844032715,-5.233651704906478,-1.257493786711315,-0.7051927492336698,1.285439590451131,1257
4,-0.50612231088745,-1.231958591528207,-0.832342058526892,-2.179543990735719,0.001,0.0,auto,poly,4,18.847682070732116,10.853898829983217,1.59619619846344,0.971490919418178,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'auto', 'kernel': 'poly'}",-0.5289216128066705,-0.5087401933620461,-0.5050374334321382,-0.4961600173224405,-0.4941679413082049,-0.511981522046478,-0.5014417042414376,-0.5204739796616497,-0.5109205093832557,-0.48337819531017795,0.012540012016113836,1570,-1.343147818746987,-1.1228100780340866,-0.876280932935227,-1.1127836010211296,-1.2112454114679612,-1.2136143485824822,-1.1408800371398862,-2.1300436714605393,-1.2008646179753135,-0.9679153979184564,0.3242358742734933,1588,-0.8720513139489966,-0.7779703642711595,-0.7735100495362279,-0.7737988843384905,-0.8176555583980272,-0.8025692993407249,-0.7728635394629085,-1.1844161972034375,-0.8411607478786254,-0.7074246308903218,0.12477970647025775,1529,-2.2594017378484343,-1.6419960916712704,-1.3903681661612457,-1.7742155921642049,-1.989741004139407,-1.8241577654907872,-1.6818176109454022,-5.799307512621149,-1.9984010241042136,-1.4360334022110766,1.232103462063089,1572
5,-0.5237684431483174,-1.284316998690195,-0.8514183317614782,-2.2283629762745454,0.001,0.0,auto,rbf,5,20.24635727405548,10.014839958030011,1.8095955848693848,0.7450173648259686,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 'auto', 'kernel': 'rbf'}",-0.5461838619117582,-0.5353996664224631,-0.5240935236839461,-0.5077350345339233,-0.5075392496274101,-0.5260391546062155,-0.5221328240248023,-0.5447479837493492,-0.5276114918702765,-0.4962016410530301,0.015430389010637216,1584,-1.411928589086208,-1.2067586099843997,-0.943558930290236,-1.149362234388678,-1.241632444270645,-1.2458886535070584,-1.1817426340800534,-2.188397908324506,-1.2414419363025009,-1.0324580466676652,0.32451233786682304,1620,-0.8990734254386776,-0.8186131465207909,-0.8048063037480707,-0.7823430763803297,-0.825077607147343,-0.8140024271800591,-0.7869117318251483,-1.2055985641806293,-0.8502553371688714,-0.7275016980248619,0.12543782006526674,1549,-2.3505069005853088,-1.7399903984802176,-1.4814127621357978,-1.7926475569584015,-2.032835010990556,-1.8481056322712048,-1.7115370925229239,-5.81308992969176,-2.0211377383444993,-1.4923667407647785,1.2200838240664889,1607
6,-0.21591192582447807,-0.6324755536644018,-0.4854547488384434,-1.4429652447761154,0.001,0.0,0.008,linear,6,18.068818306922914,10.194387487242937,1.6503222227096557,1.0438928960388612,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.008, 'kernel': 'linear'}",-0.22855527764734224,-0.2173440140199679,-0.22348263359056975,-0.2066788734324872,-0.22134116150845093,-0.21587290171011572,-0.19678125953552209,-0.2299445947573798,-0.22383730763613088,-0.19528123440681397,0.011769806764488518,754,-0.6915660065571547,-0.5323250054934923,-0.4268805008568107,-0.5321916597162244,-0.5985219199668447,-0.5862618473173677,-0.4760640886908544,-1.4841577276710942,-0.5797814674863259,-0.4170053128878483,0.29464685951429265,1430,-0.5114114302905949,-0.4041847920556278,-0.4578253593340766,-0.4282158998596672,-0.4549687951355448,-0.4519241638614773,-0.34835261796482364,-0.9366238541371441,-0.4884574105077877,-0.37258316523768864,0.1576297826916351,581,-1.5260139771421757,-0.8631948191778341,-0.7999678868358001,-1.0614325989133016,-1.1462123575328882,-1.050101882904418,-0.7863906844032715,-5.233651704906478,-1.257493786711315,-0.7051927492336698,1.285439590451131,1257
7,-0.5409161365217405,-1.2740229610796543,-0.8606218577330097,-2.2197764818865955,0.001,0.0,0.008,poly,7,29.305287837982178,45.04729527094883,2.4066274881362917,4.067512181974972,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.008, 'kernel': 'poly'}",-0.5593660715867211,-0.5449445343619586,-0.5398801648299809,-0.5308992378041673,-0.5277576760350737,-0.5479289832680918,-0.5397935942703761,-0.5567863911125992,-0.5444853330471301,-0.5173193789013053,0.012259836492023413,1602,-1.3900024972021734,-1.1667952195638998,-0.9172174544335554,-1.152885562553732,-1.249982218504225,-1.2544446032289451,-1.184694445182109,-2.1765491558350507,-1.2363592789885465,-1.0112991753043052,0.32571002535644883,1603,-0.9013978931932164,-0.8103450109582533,-0.8031347604013506,-0.8010267099110648,-0.8438343494948584,-0.8317795502686098,-0.8038944178330518,-1.2076186479386508,-0.8651840769292255,-0.7380031604018141,0.12281751795063085,1567,-2.313555560368934,-1.6877772176862091,-1.4326465768468766,-1.8064686680283228,-2.0330291491730272,-1.8627622090532336,-1.723784123004367,-5.830401050655731,-2.0290117082622596,-1.4783285557869952,1.2293617347631844,1592
8,-0.5217721882760975,-1.2815547427495801,-0.8491800670893233,-2.224940114735986,0.001,0.0,0.008,rbf,8,93.36524703502657,77.87341759790343,8.659289216995239,6.912056201082651,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.008, 'kernel': 'rbf'}",-0.5438843864547374,-0.5333884489282711,-0.5225346250087967,-0.5059293708488954,-0.5053158006782179,-0.5247503551339611,-0.5202571716427676,-0.5421651832268974,-0.5254077337980289,-0.4940888070404009,0.015339170351046368,1580,-1.409445087374911,-1.2036600437937646,-0.9410916471452224,-1.1466060152686772,-1.2387801231175488,-1.243228444721054,-1.1788300443628803,-2.1850722175338397,-1.239122291795549,-1.0297115123823506,0.32434088434410924,1612,-0.8968090892571925,-0.8161118196612536,-0.8026551632130787,-0.7800617525163019,-0.8226689016720283,-0.8120568027420058,-0.7845877261046375,-1.2035150787398603,-0.8482959340715684,-0.7250384029153049,0.12550789813740024,1544,-2.3469326511704334,-1.7361401917832149,-1.4781579963057534,-1.7894682083606488,-2.028486354359194,-1.8448694178224696,-1.7079393339312758,-5.809377916421236,-2.0190810863846296,-1.4889479908210064,1.2199885728732742,1599
9,-0.21591192582447807,-0.6324755536644018,-0.4854547488384434,-1.4429652447761154,0.001,0.0,0.01,linear,9,103.53972532749177,81.36637863154539,9.644053196907043,7.340924838712652,"{'C': 0.001, 'epsilon': 0.0, 'gamma': 0.01, 'kernel': 'linear'}",-0.22855527764734224,-0.2173440140199679,-0.22348263359056975,-0.2066788734324872,-0.22134116150845093,-0.21587290171011572,-0.19678125953552209,-0.2299445947573798,-0.22383730763613088,-0.19528123440681397,0.011769806764488518,754,-0.6915660065571547,-0.5323250054934923,-0.4268805008568107,-0.5321916597162244,-0.5985219199668447,-0.5862618473173677,-0.4760640886908544,-1.4841577276710942,-0.5797814674863259,-0.4170053128878483,0.29464685951429265,1430,-0.5114114302905949,-0.4041847920556278,-0.4578253593340766,-0.4282158998596672,-0.4549687951355448,-0.4519241638614773,-0.34835261796482364,-0.9366238541371441,-0.4884574105077877,-0.37258316523768864,0.1576297826916351,581,-1.5260139771421757,-0.8631948191778341,-0.7999678868358001,-1.0614325989133016,-1.1462123575328882,-1.050101882904418,-0.7863906844032715,-5.233651704906478,-1.257493786711315,-0.7051927492336698,1.285439590451131,1257
